I have successfully retrieved the complete README from the public-apis repository (1958 lines). Here is the full structured data organized by all 50 categories.

---

## Complete Public APIs Reference (from github.com/public-apis/public-apis)

**Total categories: 50**

---

### 1. Animals (28 APIs)

| Name | Description | Auth | HTTPS | CORS |
| OpenStreetMap | Navigation, geolocation and geographical data | OAuth | No | Unknown |
| Pinball Map | Crowdsourced map of public pinball machines | No | Yes | Yes |
| positionstack | Forward & Reverse Batch Geocoding REST API | apiKey | Yes | Unknown |
| Postali | Mexico Zip Codes API | No | Yes | Yes |
| PostcodeData.nl | Geolocation data based on postcode for Dutch addresses | No | No | Unknown |
| Postcodes.io | Postcode lookup & Geolocation for the UK | No | Yes | Yes |
| PostalCodes | Postal code search, country exports, address validation | No | Yes | Unknown |
| Queimadas INPE | Access to heat focus data (probable wildfire) | No | Yes | Unknown |
| REST Countries | Get information about countries via RESTful API | No | Yes | Yes |
| RoadGoat Cities | Cities content & photos API | apiKey | Yes | No |
| Rwanda Locations | Rwanda Provinces, Districts, Cities, etc | No | Yes | Unknown |
| SLF | German city, country, river database | No | Yes | Yes |
| SpotSense | Add location based interactions to mobile app | apiKey | Yes | Unknown |
| Telize | Location information from any IP address | apiKey | Yes | Yes |
| TomTom | Maps, Directions, Places and Traffic APIs | apiKey | Yes | Yes |
| Uebermaps | Discover and share maps with friends | apiKey | Yes | Unknown |
| US ZipCode | Validate and append data for any US ZipCode | apiKey | Yes | Yes |
| Utah AGRC | Utah Web API for geocoding Utah addresses | apiKey | Yes | Unknown |
| ViaCep | Brazil RESTful zip codes API | No | Yes | Unknown |
| What3Words | Three words as rememberable and unique coordinates worldwide | apiKey | Yes | Unknown |
| Yandex.Maps Geocoder | Use geocoding to get object's coordinates from address | apiKey | Yes | Unknown |
| ZipCodeAPI | US zip code distance, radius and location API | apiKey | Yes | Unknown |
| Zippopotam.us | Get information about place such as country, city, state | No | No | Unknown |
| Ziptastic | Get the country, state, and city of any US zip-code | No | Yes | Unknown |

---

### 26. Government (91 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Bank Negara Malaysia Open Data | Malaysia Central Bank Open Data | No | Yes | Unknown |
| BCLaws | Access to the laws of British Columbia | No | No | Unknown |
| Brazil | Community driven API for Brazil Public Data | No | Yes | Yes |
| Brazil Central Bank Open Data | Brazil Central Bank Open Data | No | Yes | Unknown |
| Brazil Receita WS | Consult companies by CNPJ for Brazilian companies | No | Yes | Unknown |
| Brazilian Chamber of Deputies Open Data | Legislative information in XML and JSON | No | Yes | No |
| CPFHub | Brazilian CPF lookup | apiKey | Yes | Yes |
| Census.gov | US Census Bureau APIs and data sets | No | Yes | Unknown |
| City, Berlin | Berlin(DE) City Open Data | No | Yes | Unknown |
| City, Gdansk | Gdansk (PL) City Open Data | No | Yes | Unknown |
| City, Gdynia | Gdynia (PL) City Open Data | No | No | Unknown |
| City, Helsinki | Helsinki(FI) City Open Data | No | Yes | Unknown |
| City, Lviv | Lviv(UA) City Open Data | No | Yes | Unknown |
| City, Nantes Open Data | Nantes(FR) City Open Data | apiKey | Yes | Unknown |
| City, New York Open Data | New York (US) City Open Data | No | Yes | Unknown |
| City, Prague Open Data | Prague(CZ) City Open Data | No | No | Unknown |
| City, Toronto Open Data | Toronto (CA) City Open Data | No | Yes | Yes |
| Code.gov | Open Source and code sharing for U.S. Federal Government | apiKey | Yes | Unknown |
| Colorado Information Marketplace | Colorado State Government Open Data | No | Yes | Unknown |
| Data USA | US Public Data | No | Yes | Unknown |
| Data.gov | US Government Data | apiKey | Yes | Unknown |
| Data.parliament.uk | UK Parliament datasets | No | No | Unknown |
| Deutscher Bundestag DIP | Read access to DIP entities | apiKey | Yes | Unknown |
| District of Columbia Open Data | D.C. government public datasets | No | Yes | Unknown |
| EPA | US Environmental Protection Agency data | No | Yes | Unknown |
| FBI Wanted | Access information on the FBI Wanted program | No | Yes | Unknown |
| FEC | Information on campaign donations in federal elections | apiKey | Yes | Unknown |
| Federal Register | The Daily Journal of the United States Government | No | Yes | Unknown |
| Food Standards Agency | UK food hygiene rating data API | No | No | Unknown |
| Gazette Data, UK | UK official public record API | OAuth | Yes | Unknown |
| Gun Policy | International firearm injury prevention and policy | apiKey | Yes | Unknown |
| Indian Pincode | Free India PIN code lookup with GPS coordinates | No | Yes | Yes |
| INEI | Peruvian Statistical Government Open Data | No | No | Unknown |
| Interpol Red Notices | Access and search Interpol Red Notices | No | Yes | Unknown |
| Istanbul (IBB) Open Data | Data sets from Istanbul Metropolitan Municipality | No | Yes | Unknown |
| LocalGov.jp | Japan grants and subsidies | No | Yes | Yes |
| National Park Service, US | Data from the US National Park Service | apiKey | Yes | Yes |
| Open Government, ACT | Australian Capital Territory Open Data | No | Yes | Unknown |
| Open Government, Argentina | Argentina Government Open Data | No | Yes | Unknown |
| Open Government, Australia | Australian Government Open Data | No | Yes | Unknown |
| Open Government, Austria | Austria Government Open Data | No | Yes | Unknown |
| Open Government, Belgium | Belgium Government Open Data | No | Yes | Unknown |
| Open Government, Canada | Canadian Government Open Data | No | No | Unknown |
| Open Government, Colombia | Colombia Government Open Data | No | No | Unknown |
| Open Government, Cyprus | Cyprus Government Open Data | No | Yes | Unknown |
| Open Government, Czech Republic | Czech Republic Government Open Data | No | Yes | Unknown |
| Open Government, Denmark | Denmark Government Open Data | No | Yes | Unknown |
| Open Government, Estonia | Estonia Government Open Data | apiKey | Yes | Unknown |
| Open Government, Finland | Finland Government Open Data | No | Yes | Unknown |
| Open Government, France | French Government Open Data | apiKey | Yes | Unknown |
| Open Government, Germany | Germany Government Open Data | No | Yes | Unknown |
| Open Government, Greece | Greece Government Open Data | OAuth | Yes | Unknown |
| Open Government, India | Indian Government Open Data | apiKey | Yes | Unknown |
| Open Government, Ireland | Ireland Government Open Data | No | Yes | Unknown |
| Open Government, Italy | Italy Government Open Data | No | Yes | Unknown |
| Open Government, Korea | Korea Government Open Data | apiKey | Yes | Unknown |
| Open Government, Lithuania | Lithuania Government Open Data | No | Yes | Unknown |
| Open Government, Luxembourg | Luxembourgish Government Open Data | apiKey | Yes | Unknown |
| Open Government, Mexico (inegi) | Mexican Statistical Government Open Data | No | Yes | Unknown |
| Open Government, Mexico (datos.gob.mx) | Mexico Government Open Data | No | Yes | Unknown |
| Open Government, Netherlands | Netherlands Government Open Data | No | Yes | Unknown |
| Open Government, New South Wales | New South Wales Government Open Data | apiKey | Yes | Unknown |
| Open Government, New Zealand | New Zealand Government Open Data | No | Yes | Unknown |
| Open Government, Norway | Norwegian Government Open Data | No | Yes | Yes |
| Open Government, Peru | Peru Government Open Data | No | Yes | Unknown |
| Open Government, Poland | Poland Government Open Data | No | Yes | Yes |
| Open Government, Portugal | Portugal Government Open Data | No | Yes | Yes |
| Open Government, Queensland | Queensland Government Open Data | No | Yes | Unknown |
| Open Government, Romania | Romania Government Open Data | No | No | Unknown |
| Open Government, Saudi Arabia | Saudi Arabia Government Open Data | No | Yes | Unknown |
| Open Government, Singapore | Singapore Government Open Data | No | Yes | Unknown |
| Open Government, Slovakia | Slovakia Government Open Data | No | Yes | Unknown |
| Open Government, Slovenia | Slovenia Government Open Data | No | Yes | No |
| Open Government, South Australian | South Australian Government Open Data | No | Yes | Unknown |
| Open Government, Spain | Spain Government Open Data | No | Yes | Unknown |
| Open Government, Sweden | Sweden Government Open Data | No | Yes | Unknown |
| Open Government, Switzerland | Switzerland Government Open Data | No | Yes | Unknown |
| Open Government, Taiwan | Taiwan Government Open Data | No | Yes | Unknown |
| Open Government, Thailand | Thailand Government Open Data | apiKey | Yes | Unknown |
| Open Government, UK | UK Government Open Data | No | Yes | Unknown |
| Open Government, USA | United States Government Open Data | No | Yes | Unknown |
| Open Government, Victoria | Victoria State Government Open Data | No | Yes | Unknown |
| Open Government, West Australia | West Australia Open Data | No | Yes | Unknown |
| OpenRegistry | Real-time queries to 27 national company registries | OAuth | Yes | Unknown |
| PRC Exam Schedule | Philippine Professional Regulation Commission exam schedule | No | Yes | Yes |
| Represent by Open North | Find Canadian Government Representatives | No | Yes | Unknown |
| UK Companies House | UK Companies House Data | OAuth | Yes | Unknown |
| US Presidential Election Data | Basic candidate data and live electoral vote counts | No | Yes | No |
| USA.gov | Authoritative information on U.S. programs, events, services | apiKey | Yes | Unknown |
| USAspending.gov | US federal spending data | No | Yes | Unknown |

---

### 27. Health (34 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| CMS.gov | Access to data from the CMS - medicare.gov | apiKey | Yes | Unknown |
| Coronavirus | HTTP API for Latest Covid-19 Data | No | Yes | Unknown |
| Coronavirus in the UK | UK Government coronavirus data | No | Yes | Unknown |
| Covid Tracking Project | Covid-19 data for the US | No | Yes | No |
| Covid-19 (covid19api.com) | Covid 19 spread, infection and recovery | No | Yes | Yes |
| Covid-19 (M-Media-Group) | Covid 19 cases, deaths and recovery per country | No | Yes | Yes |
| Covid-19 Datenhub | Maps, datasets, applications for COVID-19 | No | Yes | Unknown |
| Covid-19 Government Response | Government measures tracker for Covid-19 | No | Yes | Yes |
| Covid-19 India | Covid 19 statistics in India | No | Yes | Unknown |
| Covid-19 JHU CSSE | Open-source API for Covid19 cases based on JHU CSSE | No | Yes | Yes |
| Covid-19 Live Data | Global and countrywise Covid 19 daily Summary | No | Yes | Yes |
| Covid-19 Philippines | Unofficial Covid-19 Web API for Philippines | No | Yes | Yes |
| COVID-19 Tracker Canada | Details on Covid-19 cases across Canada | No | Yes | Unknown |
| COVID-19 Tracker Sri Lanka | COVID-19 patients reported in Sri Lanka | No | Yes | Unknown |
| COVID-ID | Indonesian government Covid data per province | No | Yes | Yes |
| Dataflow Kit COVID-19 | COVID-19 live statistics | No | Yes | Unknown |
| Edamam | Food and nutrition data API with recipe search | apiKey | Yes | Unknown |
| FoodData Central | National Nutrient Database for Standard Reference | apiKey | Yes | Unknown |
| Healthcare.gov | Educational content about US Health Insurance Marketplace | No | Yes | Unknown |
| Humanitarian Data Exchange | Open platform for sharing data across crises | No | Yes | Unknown |
| Infermedica | NLP based symptom checker and patient triage API | apiKey | Yes | Yes |
| LAPIS | SARS-CoV-2 genomic sequences from public sources | No | Yes | Yes |
| Lexigram | NLP that extracts clinical concepts from text | apiKey | Yes | Unknown |
| Makeup | Makeup Information | No | No | Unknown |
| MyVaccination | Vaccination data for Malaysia | No | Yes | Unknown |
| NPPES | National Plan & Provider Enumeration System | No | Yes | Unknown |
| Nutritionix | World's largest verified nutrition database | apiKey | Yes | Unknown |
| Open Data NHS Scotland | Medical reference data and statistics | No | Yes | Unknown |
| Open Disease | API for COVID-19 and Influenza cases | No | Yes | Yes |
| openFDA | Public FDA data about drugs, devices and foods | apiKey | Yes | Unknown |
| Orion Health | Medical platform for healthcare application development | OAuth | Yes | Unknown |
| Quarantine | Coronavirus API with free COVID-19 live updates | No | Yes | Yes |

---

### 28. Jobs (19 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| AI Dev Jobs | AI/ML engineering job aggregator with REST, RSS, and MCP endpoints | No | Yes | Yes |
| Adzuna | Job board aggregator | apiKey | Yes | Unknown |
| Arbeitnow | API for Job board aggregator in Europe / Remote | No | Yes | Yes |
| Arbeitsamt | API for the German Job board aggregator | OAuth | Yes | Unknown |
| Careerjet | Job search engine | apiKey | No | Unknown |
| DevITjobs UK | Jobs with GraphQL | No | Yes | Yes |
| Findwork | Job board | apiKey | Yes | Unknown |
| GraphQL Jobs | Jobs with GraphQL | No | Yes | Yes |
| HeroHunt People Search | Search 1 billion people profiles across LinkedIn and GitHub | apiKey | Yes | Yes |
| Jobs2Careers | Job aggregator | apiKey | Yes | Unknown |
| Jooble | Job search engine | apiKey | Yes | Unknown |
| Juju | Job search engine | apiKey | No | Unknown |
| Open Skills | Job titles, skills and related jobs data | No | No | Unknown |
| Reed | Job board aggregator | apiKey | Yes | Unknown |
| The Muse | Job board and company profiles | apiKey | Yes | Unknown |
| Upwork | Freelance job board and management system | OAuth | Yes | Unknown |
| USAJOBS | US government job board | apiKey | Yes | Unknown |
| WhatJobs | Job search engine | apiKey | Yes | Unknown |
| ZipRecruiter | Job search app and website | apiKey | Yes | Unknown |

---

### 29. Machine Learning (26 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| AI For Thai | Free Various Thai AI API | apiKey | Yes | Yes |
| Clarifai | Computer Vision | OAuth | Yes | Unknown |
| Cloudmersive | Image captioning, face recognition, NSFW classification | apiKey | Yes | Yes |
| DeepAI | AI-powered APIs for text generation, image processing | apiKey | Yes | Yes |
| Deepcode | AI for code review | No | Yes | Unknown |
| Dialogflow | Natural Language Processing | apiKey | Yes | Unknown |
| EXUDE-API | Filtering stopping, stemming words from text data | No | Yes | Yes |
| Groq | Fast AI inference API, supports Llama, Mixtral, Gemma models | apiKey | Yes | Yes |
| Hirak FaceAPI | Face detection, face recognition with age/gender estimation | apiKey | Yes | Unknown |
| Hugging Face | AI model hub with inference API for NLP, CV, and audio | apiKey | Yes | Yes |
| Imagga | Image Recognition: Tagging, Visual Search, NSFW moderation | apiKey | Yes | Unknown |
| Inferdo | Computer Vision: Facial detection, Image labeling, NSFW | apiKey | Yes | Unknown |
| IPS Online | Face and License Plate Anonymization | apiKey | Yes | Unknown |
| Irisnet | Realtime content moderation API | apiKey | Yes | Yes |
| Keen IO | Data Analytics | apiKey | Yes | Unknown |
| Machinetutors | AI Solutions: Video/Image Classification & Tagging, NSFW, NLP | apiKey | Yes | Yes |
| MessengerX.io | FREE API for ML based chat apps | apiKey | Yes | Yes |
| NLP Cloud | NLP API using spaCy and transformers | apiKey | Yes | Unknown |
| OpenVisionAPI | Open source computer vision API | No | Yes | Yes |
| Perspective | NLP API for text toxicity probability | apiKey | Yes | Unknown |
| Roboflow Universe | Pre-trained computer vision models | apiKey | Yes | Yes |
| SkyBiometry | Face Detection, Face Recognition and Face Grouping | apiKey | Yes | Unknown |
| TensorFeed | Real-time AI news, model pricing, service status | No | Yes | Yes |
| Time Door | A time series analysis API | apiKey | Yes | Yes |
| Unplugg | Forecasting API for timeseries data | apiKey | Yes | Unknown |
| WolframAlpha | Provides specific answers using data and algorithms | apiKey | Yes | Unknown |

---

### 30. Music (35 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| 7digital | Api of Music store 7digital | OAuth | Yes | Unknown |
| AI Mastering | Automated Music Mastering | apiKey | Yes | Yes |
| Audiomack | Api of the streaming music hub Audiomack | OAuth | Yes | Unknown |
| Bandcamp | API of Music store Bandcamp | OAuth | Yes | Unknown |
| Bandsintown | Music Events | No | Yes | Unknown |
| Deezer | Music | OAuth | Yes | Unknown |
| Discogs | Music | OAuth | Yes | Unknown |
| Freesound | Music Samples | apiKey | Yes | Unknown |
| Gaana | Retrieve song information from Gaana | No | Yes | Unknown |
| Genius | Crowdsourced lyrics and music knowledge | OAuth | Yes | Unknown |
| Genrenator | Music genre generator | No | Yes | Unknown |
| iTunes Search | Software products | No | Yes | Unknown |
| Jamendo | Music | OAuth | Yes | Unknown |
| JioSaavn | Retrieve song information, album meta data from JioSaavn | No | Yes | Unknown |
| KKBOX | Music libraries, playlists, charts | OAuth | Yes | Unknown |
| KSoft.Si Lyrics | API to get lyrics for songs | apiKey | Yes | Unknown |
| LastFm | Music | apiKey | Yes | Unknown |
| Lyrics.ovh | Simple API to retrieve the lyrics of a song | No | Yes | Unknown |
| Mixcloud | Music | OAuth | Yes | Yes |
| MusicBrainz | Music | No | Yes | Unknown |
| Musixmatch | Music | apiKey | Yes | Unknown |
| Napster | Music | apiKey | Yes | Yes |
| Openwhyd | Download curated playlists of streaming tracks | No | Yes | No |
| Phishin | Archive of legal live audio recordings of Phish | apiKey | Yes | No |
| Radio Browser | List of internet radio stations | No | Yes | Yes |
| Songkick | Music Events | apiKey | Yes | Unknown |
| Songlink / Odesli | Get all services on which a song is available | apiKey | Yes | Yes |
| Songsterr | Guitar, bass and drums tabs and chords | No | Yes | Unknown |
| SoundCloud | Build applications to control your content | OAuth | Yes | Unknown |
| Spotify | View Spotify music catalog, manage libraries, get recommendations | OAuth | Yes | Unknown |
| Sunor | AI music generation API via Suno | apiKey | Yes | Unknown |
| TasteDive | Similar artist API (also movies and TV shows) | apiKey | Yes | Unknown |
| TheAudioDB | Music | apiKey | Yes | Unknown |
| Vagalume | Crowdsourced lyrics and music knowledge | apiKey | Yes | Unknown |
| Verome | Music API for searching, streaming from YouTube Music, YouTube, Last.fm | No | Yes | Unknown |

---

### 31. News (21 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Mediastack | Free, Simple REST API for Live News & Blog Articles | apiKey | Yes | Unknown |
| Associated Press | Search for news and metadata from Associated Press | apiKey | Yes | Unknown |
| Chronicling America | Millions of pages of historic US newspapers from Library of Congress | No | No | Unknown |
| Currents | Real-time and historical global news with multilingual support | apiKey | Yes | Yes |
| Feedbin | RSS reader | OAuth | Yes | Unknown |
| Florida Man | Static JSON dataset of 10,000+ Florida Man headlines | No | Yes | Yes |
| GNews | Search for news from various sources | apiKey | Yes | Yes |
| Graphs for Coronavirus | Country and Worldwide Graphs for Coronavirus | No | Yes | Yes |
| Inshorts News | Provides news from inshorts | No | Yes | Unknown |
| MarketAux | Live stock market news with tagged tickers + sentiment | apiKey | Yes | Yes |
| New York Times | The New York Times Developer Network | apiKey | Yes | Unknown |
| News | Headlines currently published on news sources and blogs | apiKey | Yes | Unknown |
| NewsData | News data API for live-breaking news | apiKey | Yes | Unknown |
| NewsX | Get or Search Latest Breaking News with ML Powered Summaries | apiKey | Yes | Unknown |
| NPR One | Personalized news listening experience from NPR | OAuth | Yes | Unknown |
| Spaceflight News | Spaceflight related news | No | Yes | Yes |
| The Guardian | Access all content the Guardian creates | apiKey | Yes | Unknown |
| The Old Reader | RSS reader | apiKey | Yes | Unknown |
| TheNews | Aggregated headlines, top story and live news JSON API | apiKey | Yes | Yes |
| Trove | Search through National Library of Australia collection | apiKey | Yes | Unknown |

---

### 32. Open Data (38 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| 18F | Unofficial US Federal Government API Development | No | No | Unknown |
| AcreLens | Land suitability scoring API for any US property | apiKey | Yes | Unknown |
| API Setu | Indian Government platform for KYC, business, education | No | Yes | Yes |
| Archive.org | The Internet Archive | No | Yes | No |
| Black History Facts | One of the largest black history fact databases | apiKey | Yes | Yes |
| BotsArchive | JSON formatted details about Telegram Bots | No | Yes | Unknown |
| Callook.info | United States ham radio callsigns | No | Yes | Unknown |
| CARTO | Location Information Prediction | apiKey | Yes | Unknown |
| CollegeScoreCard.ed.gov | Data on higher education institutions in the US | No | Yes | Unknown |
| Enigma Public | Broadest collection of public data | apiKey | Yes | Yes |
| French Address Search | Address search via the French Government | No | Yes | Unknown |
| GENESIS | Federal Statistical Office Germany | OAuth | Yes | Unknown |
| Joshua Project | People groups of the world with fewest followers of Christ | apiKey | Yes | Unknown |
| Kaggle | Create and interact with Datasets, Notebooks | apiKey | Yes | Unknown |
| LinkPreview | JSON formatted summary with title, description and preview image | apiKey | Yes | Yes |
| Lowy Asia Power Index | Measure resources and influence to rank relative power of states in Asia | No | Yes | Unknown |
| Microlink.io | Extract structured data from any website | No | Yes | Yes |
| ModelPartFinder Error Codes | Lookup appliance error codes by brand and code | No | Yes | Yes |
| Nasdaq Data Link | Stock market data | apiKey | Yes | Unknown |
| Nobel Prize | Open data about nobel prizes and events | No | Yes | Yes |
| Onyx Bazaar | Free public leaderboard of x402 paid HTTP services | No | Yes | Unknown |
| Open Data Minneapolis | Spatial (GIS) and non-spatial city data for Minneapolis | No | Yes | No |
| openAFRICA | Large datasets repository of African open data | No | Yes | Unknown |
| OpenCorporates | Data on corporate entities and directors in many countries | apiKey | Yes | Unknown |
| OpenSanctions | Data on international sanctions, crime and PEPs | No | Yes | Yes |
| PeakMetrics | News articles and public datasets | apiKey | Yes | Unknown |
| Recreation Information Database | Recreational areas, federal lands, historic sites (US) | apiKey | Yes | Unknown |
| Scoop.it | Content Curation Service | apiKey | No | Unknown |
| Socrata | Access to Open Data from Governments, Non-profits and NGOs | OAuth | Yes | Yes |
| Teleport | Quality of Life Data | No | Yes | Unknown |
| Umea Open Data | Open data of the city Umea in northern Sweden | No | Yes | Yes |
| Universities List | University names, countries and domains | No | Yes | Unknown |
| University of Oslo | Courses, lecture videos for University of Oslo | No | Yes | Unknown |
| UPC database | More than 1.5 million barcode numbers | apiKey | Yes | Unknown |
| Urban Observatory | Largest set of publicly available real time urban data in the UK | No | No | No |
| Voidly | Internet censorship measurements across 126 countries | No | Yes | No |
| Wikidata | Collaboratively edited knowledge base | OAuth | Yes | Unknown |
| Wikipedia | Mediawiki Encyclopedia | No | Yes | Unknown |
| Yelp | Find Local Business | OAuth | Yes | Unknown |

---

### 33. Open Source Projects (9 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Countly | Countly web analytics | No | No | Unknown |
| Creative Commons Catalog | Search among openly licensed and public domain works | OAuth | Yes | Yes |
| Datamuse | Word-finding query engine | No | Yes | Unknown |
| Drupal.org | Drupal.org | No | Yes | Unknown |
| Evil Insult Generator | Evil Insults | No | Yes | Yes |
| GitHub Contribution Chart Generator | Create an image of your GitHub contributions | No | Yes | Yes |
| GitHub ReadMe Stats | Add dynamically generated statistics to GitHub profile ReadMe | No | Yes | Yes |
| Metabase | Open source Business Intelligence server | No | Yes | Yes |
| Shields | Concise, consistent, and legible badges in SVG and raster format | No | Yes | Unknown |

---

### 34. Patent (4 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| EPO | European patent search system api | OAuth | Yes | Unknown |
| PatentsView | Explore and visualize trends in US innovation landscape | No | Yes | Unknown |
| TIPO | Taiwan patent search system api | apiKey | Yes | Unknown |
| USPTO | USA patent api services | No | Yes | Unknown |

---

### 35. Personality (22 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Advice Slip | Generate random advice slips | No | Yes | Unknown |
| Biriyani As A Service | Biriyani images placeholder | No | Yes | No |
| Dev.to | Access Forem articles, users and other resources via API | apiKey | Yes | Unknown |
| Dictum | Collection of the most inspiring expressions of mankind | No | Yes | Unknown |
| FavQs.com | Collect, discover and share your favorite quotes | apiKey | Yes | Unknown |
| FOAAS | Fuck Off As A Service | No | No | Unknown |
| Forismatic | Inspirational Quotes | No | No | Unknown |
| icanhazdadjoke | The largest selection of dad jokes on the internet | No | Yes | Unknown |
| Inspiration | Motivational and Inspirational quotes | No | Yes | Yes |
| kanye.rest | REST API for random Kanye West quotes | No | Yes | Yes |
| kimiquotes | Team radio and interview quotes by Kimi Raikkonen | No | Yes | Yes |
| Medium | Community of readers and writers | OAuth | Yes | Unknown |
| Programming Quotes | Programming Quotes API for open source projects | No | Yes | Unknown |
| Quotable Quotes | Free, open source quotations API | No | Yes | Unknown |
| Quote Garden | REST API for more than 5000 famous quotes | No | Yes | Unknown |
| quoteclear | James Clear quotes from the 3-2-1 Newsletter | No | Yes | Yes |
| Quotes on Design | Inspirational Quotes | No | Yes | Unknown |
| Stoicism Quote | Quotes about Stoicism | No | Yes | Unknown |
| They Said So Quotes | Quotes Trusted by many fortune brands | No | Yes | Unknown |
| Traitify | Assess, collect and analyze Personality | No | Yes | Unknown |
| Udemy (instructor) | API for instructors on Udemy | apiKey | Yes | Unknown |
| Vadivelu HTTP Codes | On demand HTTP Codes with images | No | Yes | No |
| Zen Quotes | Large collection of Zen quotes for inspiration | No | Yes | Yes |

---

### 36. Phone (6 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Numlookup | Phone number validation and carrier lookup API | apiKey | Yes | Unknown |
| Numverify | Phone number validation | apiKey | Yes | Unknown |
| Cloudmersive Validate | Validate international phone numbers | apiKey | Yes | Yes |
| Phone Specification | Rest Api for Phone specifications | No | Yes | Yes |
| Phone Validation | Validate phone numbers globally | apiKey | Yes | Yes |
| Veriphone | Phone number validation & carrier lookup | apiKey | Yes | Yes |

---

### 37. Photography (29 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Screenshotlayer | URL to screenshot | No | Yes | Unknown |
| APITemplate.io | Dynamically generate images and PDFs from templates | apiKey | Yes | Yes |
| Bruzu | Image generation with query string | apiKey | Yes | Yes |
| CheetahO | Photo optimization and resize | apiKey | Yes | Unknown |
| Dagpi | Image manipulation and processing | apiKey | Yes | Unknown |
| Duply | Generate, Edit, Scale and Manage Images and Videos | apiKey | Yes | Yes |
| DynaPictures | Generate Hundreds of Personalized Images in Minutes | apiKey | Yes | Yes |
| Flickr | Flickr Services | OAuth | Yes | Unknown |
| Getty Images | Build applications using powerful imagery | OAuth | Yes | Unknown |
| Gfycat | Jiffier GIFs | OAuth | Yes | Unknown |
| Giphy | Get all your gifs | apiKey | Yes | Unknown |
| Google Photos | Integrate Google Photos with your apps or devices | OAuth | Yes | Unknown |
| Image Upload | Image Optimization | apiKey | Yes | Unknown |
| Imgur | Images | OAuth | Yes | Unknown |
| Imsea | Free image search | No | Yes | Unknown |
| Lorem Picsum | Images from Unsplash | No | Yes | Unknown |
| ObjectCut | Image Background removal | apiKey | Yes | Yes |
| Pexels | Free Stock Photos and Videos | apiKey | Yes | Yes |
| PhotoRoom | Remove background from images | apiKey | Yes | Unknown |
| Pixabay | Photography | apiKey | Yes | Unknown |
| PlaceKeanu | Resizable Keanu Reeves placeholder images | No | Yes | Unknown |
| Readme typing SVG | Customizable typing and deleting text SVG | No | Yes | Unknown |
| Remove.bg | Image Background removal | apiKey | Yes | Unknown |
| ReSmush.it | Photo optimization | No | No | Unknown |
| shutterstock | Stock Photos and Videos | OAuth | Yes | Unknown |
| Sirv | Image management solutions | apiKey | Yes | Unknown |
| Unsplash | Photography | OAuth | Yes | Unknown |
| Wallhaven | Wallpapers | apiKey | Yes | Unknown |
| Webdam | Images | OAuth | Yes | Unknown |

---

### 38. Programming (5 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Codeforces | Get access to Codeforces data | apiKey | Yes | Unknown |
| Hackerearth | For compiling and running code in several languages | apiKey | Yes | Unknown |
| Judge0 CE | Online code execution system | apiKey | Yes | Unknown |
| KONTESTS | For upcoming and ongoing competitive coding contests | No | Yes | Unknown |
| Mintlify | For programmatically generating documentation for code | apiKey | Yes | Yes |

---

### 39. Science & Math (36 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| arcsecond.io | Multiple astronomy data sources | No | Yes | Unknown |
| arXiv | Curated research-sharing platform | No | Yes | Unknown |
| CodeCogs | Render LaTeX equations in various formats | No | Yes | Unknown |
| CORE | Access the world's Open Access research papers | apiKey | Yes | Unknown |
| GBIF | Global Biodiversity Information Facility | No | Yes | Yes |
| iDigBio | Access millions of museum specimens | No | Yes | Unknown |
| inspirehep.net | High Energy Physics info system | No | Yes | Unknown |
| isEven (humor) | Check if a number is even | No | Yes | Unknown |
| ISRO | ISRO Space Crafts Information | No | Yes | No |
| ITIS | Integrated Taxonomic Information System | No | Yes | Unknown |
| Launch Library 2 | Spaceflight launches and events database | No | Yes | Yes |
| Materials Platform for Data Science | Curated experimental data for materials science | apiKey | Yes | No |
| Minor Planet Center | Asterank.com Information | No | No | Unknown |
| NASA | NASA data, including imagery | No | Yes | No |
| NASA ADS | NASA Astrophysics Data System | OAuth | Yes | Yes |
| Newton | Symbolic and Arithmetic Math Calculator | No | Yes | No |
| Noctua | REST API for NoctuaSky features | No | Yes | Unknown |
| Numbers (math.tools) | Number of the day, random number, number facts | apiKey | Yes | No |
| Numbers (numbersapi.com) | Facts about numbers | No | No | No |
